Squadra 1,Squadra 2,Campo,Ora,Arbitro,Set 1 Vinti,Set 2 Vinti,Punti 1,Punti 2
Black Angels,Gli Oroscopati,1,09:00,Reggianal,,,,
Cosmo Queens,Attacchi Ariete,2,09:00,Le Tose,,,,
Le Tose,Reggianal,1,09:20,Black Angels,,,,
Le Amiche di Rotroia,Mira Fuori,2,09:20,Le Bimbe di Nardi,,,,
Le Bimbe di Nardi,Gli Oroscopati,1,09:40,Le Amiche di Rotroia,,,,
Black Angels,Attacchi Ariete,2,09:40,Mira Fuori,,,,
Cosmo Queens,Reggianal,1,10:00,Gli Oroscopati,,,,
Le Tose,Mira Fuori,2,10:00,Le Bimbe di Nardi,,,,
Le Amiche di Rotroia,Le Bimbe di Nardi,1,10:20,Reggianal,,,,
Black Angels,Reggianal,1,10:40,Attacchi Ariete,,,,
Cosmo Queens,Mira Fuori,1,11:00,Gli Oroscopati,,,,
Le Tose,Le Bimbe di Nardi,2,11:00,Black Angels,,,,
Reggianal,Attacchi Ariete,1,11:20,Cosmo Queens,,,,
Black Angels,Mira Fuori,2,11:20,Le Tose,,,,
Cosmo Queens,Le Bimbe di Nardi,1,11:40,Le Amiche di Rotroia,,,,
Le Tose,Gli Oroscopati,2,11:40,Reggianal,,,,
Le Amiche di Rotroia,Attacchi Ariete,1,12:00,Gli Oroscopati,,,,
Black Angels,Le Bimbe di Nardi,2,12:00,Mira Fuori,,,,
Cosmo Queens,Gli Oroscopati,1,12:20,Attacchi Ariete,,,,
Le Tose,Attacchi Ariete,1,12:40,Le Amiche di Rotroia,,,,
Le Amiche di Rotroia,Reggianal,1,13:20,Gli Oroscopati,,,,
Le Bimbe di Nardi,Mira Fuori,2,13:20,Cosmo Queens,,,,
Black Angels,Le Amiche di Rotroia,1,13:40,Reggianal,,,,
Cosmo Queens,Le Tose,2,13:40,Le Bimbe di Nardi,,,,
Mira Fuori,Gli Oroscopati,1,14:00,Black Angels,,,,
Le Bimbe di Nardi,Attacchi Ariete,2,14:00,Le Tose,,,,
Black Angels,Le Tose,1,14:20,Attacchi Ariete,,,,
Cosmo Queens,Le Amiche di Rotroia,2,14:20,Mira Fuori,,,,
Reggianal,Gli Oroscopati,1,14:40,Cosmo Queens,,,,
Le Tose,Le Amiche di Rotroia,2,14:40,Le Bimbe di Nardi,,,,
Black Angels,Cosmo Queens,1,15:00,Gli Oroscopati,,,,
Mira Fuori,Attacchi Ariete,2,15:00,Reggianal,,,,
Le Bimbe di Nardi,Reggianal,1,15:20,Mira Fuori,,,,
Le Amiche di Rotroia,Gli Oroscopati,2,15:20,Le Tose,,,,
Mira Fuori,Reggianal,1,15:40,Le Amiche di Rotroia,,,,
Attacchi Ariete,Gli Oroscopati,2,15:40,Black Angels,,,,
