Squadra 1,Squadra 2,Campo,Ora,Arbitro,Set 1 Vinti,Set 2 Vinti,Punti 1,Punti 2
Dilf&Co,Le More Romagnole,3,09:00,In Pompa Magna (meo),1,0,25,13
In Pompa Magna (meo),Le Costellazioni Confuse,3,09:20,Le Guerriere Sailor,1,0,25,20
Le Guerriere Sailor,Tiffany Team,3,09:40,Le Manze,1,0,22,20
Le Manze,Momo Bitches,3,10:00,Dilf&Co,1,0,25,16
Dilf&Co,Le Costellazioni Confuse,2,10:20,Le Guerriere Sailor,1,0,25,14
In Pompa Magna (meo),Tiffany Team,3,10:20,Momo Bitches,0,1,8,25
Le Guerriere Sailor,Momo Bitches,2,10:40,Tiffany Team,0,1,17,25
Le Manze,Le More Romagnole,3,10:40,Le Costellazioni Confuse,1,0,25,5
Dilf&Co,Tiffany Team,3,11:00,Le More Romagnole,0,1,16,25
In Pompa Magna (meo),Momo Bitches,3,11:20,Le Manze,0,1,19,25
Le Guerriere Sailor,Le More Romagnole,3,11:40,Dilf&Co,1,0,25,17
Le Manze,Le Costellazioni Confuse,3,12:00,In Pompa Magna (meo),,,,
Dilf&Co,Momo Bitches,2,12:20,Tiffany Team,,,,
In Pompa Magna (meo),Le Manze,3,12:20,Le More Romagnole,,,,
Le Guerriere Sailor,Le Costellazioni Confuse,2,12:40,In Pompa Magna (meo),,,,
Momo Bitches,Le More Romagnole,3,12:40,Dilf&Co,,,,
Dilf&Co,Le Manze,3,13:20,Le Guerriere Sailor,,,,
In Pompa Magna (meo),Le Guerriere Sailor,3,13:40,Tiffany Team,,,,
Momo Bitches,Le Costellazioni Confuse,3,14:00,In Pompa Magna (meo),,,,
Tiffany Team,Le More Romagnole,3,14:20,Le Costellazioni Confuse,,,,
Dilf&Co,Le Guerriere Sailor,3,14:40,Le Manze,,,,
In Pompa Magna (meo),Le More Romagnole,3,15:00,Le Costellazioni Confuse,,,,
Le Manze,Tiffany Team,3,15:20,Momo Bitches,,,,
Tiffany Team,Le Costellazioni Confuse,3,15:40,Le More Romagnole,,,,
Dilf&Co,In Pompa Magna (meo),3,16:00,Tiffany Team,,,,
Le Guerriere Sailor,Le Manze,3,16:20,Le Costellazioni Confuse,,,,
Momo Bitches,Tiffany Team,1,16:40,In Pompa Magna (meo),,,,
Le Costellazioni Confuse,Le More Romagnole,2,16:40,Le Guerriere Sailor,,,,
