Squadra 1,Squadra 2,Campo,Ora,Arbitro,Set 1 Vinti,Set 2 Vinti,Punti 1,Punti 2
Fuori Servizio,Gintonici,1,9:00,Brussels Sprouts,0,1,19,23
Glory OLD,Le Cavalliere dello Zodiaco,1,9:20,Elodee,0,1,17,22
MiToMani,Or@scopo,1,9:40,081 real naples,1,0,25,10
Sailor Cunts,Saint Seiga,1,10:00,Andromeda,1,0,24,20
Gintonici,Glory OLD,1,10:20,Brussels Sprouts,1,0,25,19
Fuori Servizio,Le Cavalliere dello Zodiaco,1,10:40,ZODI-ASS,0,1,20,21
Saint Seiga,MiToMani,1,11:00,Le Verginelle,0,0,0,0
Sailor Cunts,Or@scopo,1,11:20,Astroqueens,0,0,0,0
Gintonici,Le Cavalliere dello Zodiaco,1,11:40,Elodee,0,0,0,0
Fuori Servizio,MiToMani,1,12:00,Le porche-rie,0,0,0,0
Glory OLD,Saint Seiga,1,12:20,081 real naples,0,0,0,0
Or@scopo,Le Cavalliere dello Zodiaco,1,12:40,Andromeda,0,0,0,0
Fuori Servizio,Sailor Cunts,1,13:00,Brussels Sprouts,0,0,0,0
Gintonici,MiToMani,1,13:20,ZODI-ASS,0,0,0,0
Or@scopo,Glory OLD,1,13:40,Le Verginelle,0,0,0,0
Saint Seiga,Le Cavalliere dello Zodiaco,1,14:00,Astroqueens,0,0,0,0
Sailor Cunts,Gintonici,1,14:20,Elodee,0,0,0,0
Glory OLD,Fuori Servizio,1,14:40,Brussels Sprouts,0,0,0,0
MiToMani,Sailor Cunts,1,15:00,Le porche-rie,0,0,0,0
Or@scopo,Saint Seiga,1,15:20,081 real naples,0,0,0,0
Le Cavalliere dello Zodiaco,MiToMani,1,15:40,Andromeda,0,0,0,0
Gintonici,Or@scopo,1,16:00,Le Verginelle,0,0,0,0
Fuori Servizio,Saint Seiga,1,16:20,Astroqueens,0,0,0,0
Glory OLD,Sailor Cunts,1,16:40,ZODI-ASS,0,0,0,0
Gintonici,Saint Seiga,1,17:00,Elodee,0,0,0,0
Le Cavalliere dello Zodiaco,Sailor Cunts,1,17:20,081 real naples,0,0,0,0
MiToMani,Glory OLD,1,17:40,Le Verginelle,0,0,0,0
Fuori Servizio,Or@scopo,1,18:00,Andromeda,0,0,0,0
